feedback_id,created_at,customer_segment,channel,feedback
FB-030,2026-02-25,SMB,Sales,"Exporting to Excel would be a dealbreaker for us. Our whole reporting workflow is Excel-based and the CSV-only export means we always have an extra conversion step."
FB-031,2026-02-26,Enterprise,Survey,"The Audit Log feature is useful but incomplete. We can see who logged in, but we can't see who changed a dashboard or who exported data. That's a compliance gap for us."
FB-032,2026-02-27,Mid-market,Support,"Can we get an API for exports? We want to automate pulling data out of Prism into our data warehouse on a schedule without having to use the UI."
FB-033,2026-02-28,SMB,Interview,"We onboarded three months ago and still don't fully understand how permissions work. The documentation explains the three roles but doesn't give any guidance on when to use each one."
FB-034,2026-03-03,Enterprise,Support,"Performance is fine most of the time but degrades badly at month-end when everyone on the team is running reports simultaneously. Looks like a concurrency issue."
FB-035,2026-03-04,Mid-market,Survey,"Overall very positive experience. The customer support team is responsive and the product does what it says. A few rough edges but nothing we can't work around."
FB-036,2026-03-05,SMB,Support,"Export keeps timing out on files larger than 3,000 rows. Is there a size limit I'm not aware of? I don't see anything about this in the documentation."
FB-037,2026-03-06,Enterprise,Interview,"We have a team of 800 and we need to manage permissions at the department level — not just the workspace level. A flat role system doesn't work for an org our size."
FB-038,2026-03-07,Mid-market,Sales,"We're evaluating Prism vs. a competitor. The main thing holding us back is the lack of a native Salesforce connector. Everything else looks great."
FB-039,2026-03-10,SMB,Survey,"The product works fine for basic reporting. Nothing exceptional, nothing broken. It does what we need at our current stage."
FB-040,2026-03-11,Enterprise,Support,"Export functionality is broken for us this week — every attempt fails immediately with a 500 error. We've tried three different browsers and two different users. This is urgent."
